Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2022.10.15 18:26:40  36.7165   33.5945       18.6      -.-  1.6  -.-   CUKURBAG-MUT (MERSIN)                             İlksel
2022.10.15 18:09:42  39.6512   38.7070        5.0      -.-  3.3  3.3   GULBAHCE-KEMAH (ERZINCAN)                         İlksel
2022.10.15 17:59:19  37.9047   27.1328        6.8      -.-  1.6  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.15 17:15:43  37.7740   27.0682       16.2      -.-  1.6  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.15 16:33:58  41.0655   41.0073        3.9      -.-  1.5  -.-   MURATKOY-CAMLIHEMSIN (RIZE)                       İlksel
2022.10.15 15:24:56  38.4707   30.7267       10.5      -.-  1.5  -.-   BOZAN-SUHUT (AFYONKARAHISAR)                      İlksel
2022.10.15 14:15:11  41.7732   27.5793        9.8      -.-  1.6  -.-   KURUDERE-PINARHISAR (KIRKLARELI)                  İlksel
2022.10.15 13:34:03  39.6888   23.6062       26.0      -.-  2.7  -.-   YUNANISTAN                                        İlksel
2022.10.15 12:53:11  36.6937   38.5603        5.0      -.-  1.6  -.-   SURIYE                                            İlksel
2022.10.15 12:51:31  37.0877   27.9428        0.0      -.-  1.7  -.-   DEREKOY-MILAS (MUGLA)                             İlksel
2022.10.15 12:28:47  37.2045   36.2823        4.9      -.-  1.5  -.-   SELVERLER-DUZICI (OSMANIYE)                       İlksel
2022.10.15 12:07:10  36.9667   32.9388        5.3      -.-  2.8  -.-   CUKUR-(KARAMAN)                                   İlksel
2022.10.15 11:17:41  35.9830   23.9665        5.0      -.-  2.3  -.-   GIRIT ADASI (AKDENIZ)                             İlksel
2022.10.15 10:43:39  38.7888   27.8153       12.5      -.-  1.7  -.-   SAZOBA-AKHISAR (MANISA)                           İlksel
2022.10.15 08:44:37  40.5552   36.5672        6.8      -.-  2.3  -.-   HACIALI-ERBAA (TOKAT)                             İlksel
2022.10.15 08:40:11  40.5543   36.5790        3.4      -.-  2.1  -.-   HACIALI-ERBAA (TOKAT)                             İlksel
